read_2,read_3,desc,type,variable,value,level,N
,22K..,Body mass index - observation,biomarker,anthropometric,bmi,,1081253
22K..,,Body Mass Index,biomarker,anthropometric,bmi,,434061
22K5.,22K5.,Body mass index 30+ - obesity,biomarker,anthropometric,bmi,,20806
22K4.,22K4.,Body mass index index 25-29 - overweight,biomarker,anthropometric,bmi,,16458
,22K1.,Body mass index normal K/M2,biomarker,anthropometric,bmi,,16232
22K2.,,Body Mass Index high K/M2,biomarker,anthropometric,bmi,,11719
,22K2.,Body mass index high K/M2,biomarker,anthropometric,bmi,,9574
22K1.,,Body Mass Index normal K/M2,biomarker,anthropometric,bmi,,5794
22K8.,XaJqk,Body mass index 20-24 - normal,biomarker,anthropometric,bmi,,5384
22K7.,XaJJH,Body mass index 40+ - severely obese,biomarker,anthropometric,bmi,,1985
22K6.,XaCDR,Body mass index less than 20,biomarker,anthropometric,bmi,,791
,22K3.,Body mass index low K/M2,biomarker,anthropometric,bmi,,641
22K3.,,Body Mass Index low K/M2,biomarker,anthropometric,bmi,,463
22KC.,XabHx,Obese class I (body mass index 30.0 - 34.9),biomarker,anthropometric,bmi,,45
22KD.,XabHy,Obese class II (body mass index 35.0 - 39.9),biomarker,anthropometric,bmi,,35
,X76CN,Weight for height,biomarker,anthropometric,bmi,,32
22KE.,XabHz,Obese class III (body mass index equal to or greater than 40.0),biomarker,anthropometric,bmi,,14
,22K6.,See XaCDR,biomarker,anthropometric,bmi,,1
,X76CO,Quetelet index,biomarker,anthropometric,bmi,,0
,.22K.,See 22K..,biomarker,anthropometric,bmi,,0
,.22K1,See 22K1.,biomarker,anthropometric,bmi,,0
,.22K2,See 22K2.,biomarker,anthropometric,bmi,,0
,.22K3,See 22K3.,biomarker,anthropometric,bmi,,0
,.22K4,See 22K4.,biomarker,anthropometric,bmi,,0
,.22K5,See 22K5.,biomarker,anthropometric,bmi,,0
,X76CP,See X76CN,biomarker,anthropometric,bmi,,0
,.22K6,See XaCDR,biomarker,anthropometric,bmi,,0
,.22K7,See XaJJH,biomarker,anthropometric,bmi,,0
,22K7.,See XaJJH,biomarker,anthropometric,bmi,,0
,.22K8,See XaJqk,biomarker,anthropometric,bmi,,0
,22K8.,See XaJqk,biomarker,anthropometric,bmi,,0
,22KC.,See XabHx,biomarker,anthropometric,bmi,,0
,22KD.,See XabHy,biomarker,anthropometric,bmi,,0
,22KE.,See XabHz,biomarker,anthropometric,bmi,,0
229..,229..,O/E - height,biomarker,anthropometric,height,,996507
22Z..,22Z..,Height and Weight,biomarker,anthropometric,height,,1083
229Z.,229Z.,O/E - height NOS,biomarker,anthropometric,height,,952
2293.,2293.,O/E -height within 10% average,biomarker,anthropometric,height,,438
2296.,2296.,O/E - loss of height,biomarker,anthropometric,height,,114
2294.,2294.,O/E-height 10-20% over average,biomarker,anthropometric,height,,19
,2291.,O/E - height greater than 20% below average,biomarker,anthropometric,height,,10
,2292.,O/E - height 10-20% below average,biomarker,anthropometric,height,,9
2292.,,O/E - height 10-20% < average,biomarker,anthropometric,height,,3
2291.,,O/E-height > 20% below average,biomarker,anthropometric,height,,2
,2295.,O/E - height greater than 20% over average,biomarker,anthropometric,height,,0
2295.,,O/E -height > 20% over average,biomarker,anthropometric,height,,0
,.229.,See 229..,biomarker,anthropometric,height,,0
