read_2,read_3,desc,type,variable,value,level,N
137X.,Ub1tI,Cigarette consumption,other,smoking,consumption,,53195
,XE0og,Tobacco smoking consumption,other,smoking,consumption,,12432
137..,,Tobacco consumption,other,smoking,consumption,,8653
,Ub0p3,Age at starting smoking,other,smoking,consumption,,2749
137Y.,Ub1tJ,Cigar consumption,other,smoking,consumption,,2714
137g.,XaIuQ,Cigarette pack-years,other,smoking,consumption,,2323
137Z.,137Z.,Tobacco consumption NOS,other,smoking,consumption,,1264
,Ub0oo,Tobacco smoking behaviour,other,smoking,consumption,,1229
137n.,Ub0p2,Total time smoked,other,smoking,consumption,,540
,137..,[Tobacco consumption] or [smoker - amount smoked],other,smoking,consumption,,526
137a.,Ub1tK,Pipe tobacco consumption,other,smoking,consumption,,482
,Ub0p1,Time since stopped smoking,other,smoking,consumption,,412
,6893.,Tobacco usage screening,other,smoking,consumption,,389
137h.,XaJX2,Minutes from waking to first tobacco consumption,other,smoking,consumption,,385
6893.,,Tobacco usage screen,other,smoking,consumption,,342
,Ub1nZ,Tobacco use and exposure,other,smoking,consumption,,300
68T..,,Tobacco usage screen,other,smoking,consumption,,284
ZV4K0,ZV4K0,[V]Tobacco use,other,smoking,consumption,,133
,XE0sl,Tobacco consumption: [non-smoker] or [smoker - amount smoked],other,smoking,consumption,,81
137o.,XaZIE,Waterpipe tobacco consumption,other,smoking,consumption,,8
,.137Z,See 137Z.,other,smoking,consumption,,0
,137n.,See Ub0p2,other,smoking,consumption,,0
,.137X,See Ub1tI,other,smoking,consumption,,0
,137X.,See Ub1tI,other,smoking,consumption,,0
,.137Y,See Ub1tJ,other,smoking,consumption,,0
,137Y.,See Ub1tJ,other,smoking,consumption,,0
,.137a,See Ub1tK,other,smoking,consumption,,0
,137a.,See Ub1tK,other,smoking,consumption,,0
,.137g,See XaIuQ,other,smoking,consumption,,0
,137g.,See XaIuQ,other,smoking,consumption,,0
,.137h,See XaJX2,other,smoking,consumption,,0
,137h.,See XaJX2,other,smoking,consumption,,0
,137o.,See XaZIE,other,smoking,consumption,,0
,1375.,Heavy cigarette smoker (20-39 cigs/day),other,smoking,current,heavy,5101
1375.,,Heavy smoker - 20-39 cigs/day,other,smoking,current,heavy,3714
,.1375,See 1375.,other,smoking,current,heavy,0
,1373.,Light cigarette smoker (1-9 cigs/day),other,smoking,current,light,6686
1373.,,Light smoker - 1-9 cigs/day,other,smoking,current,light,3474
,.1373,See 1373.,other,smoking,current,light,0
,1374.,Moderate cigarette smoker (10-19 cigs/day),other,smoking,current,moderate,9571
1374.,,Moderate smoker - 10-19 cigs/d,other,smoking,current,moderate,5873
,.1374,See 1374.,other,smoking,current,moderate,0
1372.,,Trivial smoker - < 1 cig/day,other,smoking,current,trivial,1515
,XE0oi,Trivial cigarette smoker (less than one cigarette/day),other,smoking,current,trivial,1387
,Ub1tR,Occasional cigarette smoker,other,smoking,current,trivial,519
,1372.,(Trivial smoker - < 1 cig/day) or (occasional smoker),other,smoking,current,trivial,513
,.1372,See XE0oi,other,smoking,current,trivial,0
E251.,E251.,Tobacco dependence,other,smoking,current,very_heavy,490
,1376.,Very heavy cigarette smoker (40+ cigs/day),other,smoking,current,very_heavy,388
1376.,,Very heavy smoker - 40+cigs/d,other,smoking,current,very_heavy,305
,XE1b4,Tobacco dependence (& [dependent smoker]),other,smoking,current,very_heavy,7
,.1376,See 1376.,other,smoking,current,very_heavy,0
,.E46.,See XE1b4,other,smoking,current,very_heavy,0
,137R.,Smoker,other,smoking,current,,96114
137P.,XE0oq,Cigarette smoker,other,smoking,current,,88118
137R.,,Current smoker,other,smoking,current,,23324
137G.,137G.,Trying to give up smoking,other,smoking,current,,8303
137J.,137J.,Cigar smoker,other,smoking,current,,4402
